id,label
4831,-386.6493082575547
3228,316.92823966568506
4469,586.5792199291822
1927,-1407.1567123344282
1329,-764.6547544878739
5109,-2700.870895665935
2922,1443.736612436935
2748,-1937.6070365788328
4679,775.2501251123743
1905,-1440.6553040833746
4813,-770.444809497338
3038,1300.8774850169318
3804,-1513.985943921551
2777,929.5224649735933
4480,768.0119840998806
3497,1947.973887217855
2545,539.0083590825005
2121,-2030.633956753901
2313,-1370.3237063718668
5136,-196.73651906261682
1596,-2419.266749923403
4222,-4588.435263198963
1750,13.60569199283507
3007,-945.0726637654359
3235,-2644.511383443688
4010,-2100.6586549367244
1562,-1403.132468518258
3651,-2455.6734075421614
2783,-2466.8368599582413
4474,-723.0425738165053
4646,-1888.321311056487
1334,292.3142217552871
3463,-3281.4854816029483
3803,-996.5137570959545
1768,-1563.2201199817014
4028,303.2494593640981
4814,1052.8912584861553
1902,-578.3717666085039
3669,-1706.675299378967
2589,-1403.5094863488061
2119,847.9393970082062
2925,-940.6054517365171
4641,1856.2554466125255
1333,905.6562046391518
3464,775.2001950913411
3656,-1556.8828333136473
2784,1051.4788506516202
4473,-1173.0859481267441
3232,2068.313611575445
4017,3150.5108407546995
1565,1575.037830532236
4225,303.1853204954757
1757,2787.5814337080947
3000,-1555.507245050479
2314,2840.553236528094
5131,-2322.955771668124
1591,380.65500893185697
2126,327.59864466625567
3490,-1164.4525386987436
2542,1176.9680603674035
2770,-199.66507817566207
4487,-610.2910226629556
1934,471.8339497905293
4648,-3560.534676976571
3009,-3042.1908588897923
3835,2882.205381331966
4822,4041.026935818257
2913,-2531.3127318296674
5138,-1891.9142269614797
1598,2905.7197893575667
2779,1348.4082291066345
3499,-607.932644320194
4021,-2733.604195557159
1553,-3375.39865535441
3204,-3546.9051538877006
3036,-2709.4507280384064
4213,1411.324617903477
1761,6180.674115033703
2580,2402.853684742094
3452,1725.026750426058
4677,91.33669313382295
1305,1509.5806848852633
4445,728.6419313430887
3660,-937.1590157970745
2574,1206.997742329169
4683,380.23677275332165
2746,2981.3134457494957
3694,-1214.7092707045033
5107,-730.965245552796
2322,2593.07251345913
2110,754.7355538394544
1795,657.085574641161
4489,-1481.8132433076466
2128,-1442.4634255415115
2914,-270.2938409608751
4019,1616.6924360775172
4825,1619.4383691346025
1759,-217.6135085934419
3832,244.43154794337985
3658,-1673.7606792152174
1933,4677.008273039443
2117,2886.618803042062
1792,-1607.7498344496223
5100,-2909.79624036528
2325,-3654.3398184539146
2741,-3820.383640538688
3693,973.8926913800918
2573,1079.371609878713
4684,-1096.695472366766
4442,197.1686066620016
3667,1192.6195751281448
2587,-2248.334688338411
3455,1670.6448762931125
4670,1070.2851558541088
1302,-2153.731559919165
3031,-2221.091426056196
4214,2350.894324969036
1766,1941.8179364323996
4026,-264.76604450338414
1554,-2326.7788501775303
3203,-1498.4577205820729
2371,-1027.6945376003137
5154,1354.3421694359074
4086,1900.133943069099
3091,-420.3681760262071
2143,2469.702130985345
2527,1974.9229566435906
2715,3217.9804965480525
1356,1919.4269178440218
4624,1771.9650454707034
3401,-1040.6119989956374
3633,-3253.882437522791
4416,-836.7406963338867
1958,-246.04491989247228
3257,-2164.427140622723
2385,-1438.8672633034882
1500,-1209.6424190501368
4072,-2038.6985242142568
1732,-733.0472959094844
4240,717.5639111786527
3859,-1041.761399802809
3065,-2417.973527096779
1993,-2073.2036616421924
2518,-2761.2657164762722
3892,-4740.047906297254
2940,-787.3948087156754
4885,-61.79755152671113
3866,4372.842532964412
2188,1849.066422878023
4871,2385.4104287055047
3268,1878.8002608257816
4429,1654.4086946053956
1967,311.37220723927203
1369,3731.421360730301
1735,1140.6329994534108
4247,77.26798496601627
3062,5515.151372424109
3250,-610.6633899485537
2382,2373.656467000682
1507,2431.9790874809128
4849,-552.4244313175494
4075,3673.7835223052903
3634,380.6886571417361
4411,122.21353213116014
1351,3373.5845493458737
4623,3365.1499086886874
3406,3437.1394686983544
2712,-3173.3039987900274
2520,-3025.146180385364
2978,-3334.735082968407
3096,-2918.6248356506258
2144,-3105.377397247055
2376,-2800.9088127706295
5153,-2758.500962290389
4081,-3003.3868170787655
3439,-3783.856835637878
1960,-2409.7595524158264
1538,-1912.6450951321674
4876,-2601.30966540539
5198,2001.5593966555416
3861,194.27586778765192
4278,3835.251149432904
4882,1730.6819817868632
2349,740.7476809342994
3895,4659.875344789624
2947,4310.785740352381
1994,4304.328327592507
1969,4019.452039312882
4427,4509.082691688134
3602,955.2470578928619
3430,569.7058791829303
1367,2549.538601453074
4615,1428.3976660357637
3868,934.5557601503908
2186,1504.6245884946768
3054,-1435.4613858149467
1703,-1390.4367148794888
4271,-1944.933892675419
1531,-973.9383542514531
4043,-515.9265820282701
5191,-1281.1802893921263
3266,-3586.6332264796024
2172,-3752.8304257287828
4285,-3503.893333371519
5165,-6774.740879883686
2340,-5269.162474067983
3292,-5438.778667297771
2724,-5180.868822026374
2516,-5201.004856190114
1393,-5165.26702195896
3259,-3679.2179649809304
4840,-2066.782912505777
2985,-3753.794499740715
3857,-3647.907227777037
1358,-2465.025047474055
1956,-4449.156238877079
4418,-2523.8063165586973
2529,-5922.987359261625
4088,-3291.450481480592
2971,-2039.4521781653978
2511,-3371.656731555942
1394,-4572.0362936499
2723,-495.37320696988246
5162,261.41934129100946
2347,1762.5335302582034
3295,2024.9681236793017
2949,2459.038035927263
2175,2589.307100310325
4282,1676.8462889392936
4878,1415.6333834549032
1536,181.91621153005374
4044,1031.8937169426072
5196,3773.8172050171456
3261,4629.272922298125
2181,3106.237664373324
3053,1907.5028197291836
1704,2929.117320934233
4276,4396.67653210705
3437,3044.848168396025
1360,-54.408743041393066
4612,-578.6495239158575
4420,-121.68757060611176
3605,-6774.74048922486
2976,1491.0146555423178
3098,1235.2043193213183
2378,1250.6299983454335
1951,3004.1605736699985
3408,3190.7428541171043
4249,2918.9058605671535
2982,3596.2997454424312
3850,2828.1445251605255
4847,3777.0564834929346
1509,1293.2908158561272
1758,-2485.803643933444
3833,427.75758731361645
4824,507.0962868137644
4018,-717.1265255972723
3659,2236.009497079832
